Pathway 1	Pathway 2	Nr shared xrefs	Nr xrefs pathway 1	Nr xrefs pathway 2	Nr unique xrefs both pathways
WP584	WP311	0	0	10	10
WP584	WP661	0	0	21	21
WP584	WP531	0	0	9	9
WP584	WP411	0	0	129	129
WP584	WP706	0	0	71	71
WP584	WP715	0	0	5	5
WP584	WP272	0	0	24	24
WP584	WP306	0	0	188	188
WP584	WP732	0	0	20	20
WP584	WP35	0	0	96	96
WP584	WP545	0	0	18	18
WP584	WP23	0	0	158	158
WP584	WP179	0	0	90	90
WP584	WP430	0	0	35	35
WP584	WP410	0	0	48	48
WP584	WP1462	0	0	1	1
WP584	WP623	0	0	68	68
WP584	WP400	0	0	34	34
WP584	WP61	0	0	85	85
WP584	WP716	0	0	62	62
WP584	WP428	0	0	61	61
WP584	WP313	0	0	34	34
WP584	WP1442	0	0	120	120
WP584	WP34	0	0	30	30
WP584	WP289	0	0	160	160
WP584	WP382	0	0	162	162
WP584	WP129	0	0	31	31
WP584	WP117	0	0	103	103
WP584	WP474	0	0	66	66
WP584	WP241	0	0	43	43
WP584	WP466	0	0	49	49
WP584	WP383	0	0	38	38
WP584	WP185	0	0	99	99
WP584	WP399	0	0	98	98
WP584	WP524	0	0	37	37
WP584	WP15	0	0	191	191
WP584	WP143	0	0	43	43
WP584	WP1432	0	0	0	0
WP584	WP694	0	0	10	10
WP584	WP299	0	0	41	41
WP584	WP100	0	0	38	38
WP584	WP405	0	0	41	41
WP584	WP477	0	0	88	88
WP584	WP704	0	0	14	14
WP584	WP500	0	0	42	42
WP584	WP80	0	0	13	13
WP584	WP138	0	0	112	112
WP584	WP24	0	0	75	75
WP584	WP521	0	0	13	13
WP584	WP536	0	0	152	152
WP584	WP304	0	0	67	67
WP584	WP1435	0	0	97	97
WP584	WP134	0	0	18	18
WP584	WP712	0	0	22	22
WP584	WP357	0	0	25	25
WP584	WP691	0	0	30	30
WP584	WP229	0	0	14	14
WP584	WP1434	0	0	11	11
WP584	WP408	0	0	28	28
WP584	WP561	0	0	22	22
WP584	WP363	0	0	110	110
WP584	WP733	0	0	5	5
WP584	WP237	0	0	21	21
WP584	WP1438	0	0	14	14
WP584	WP28	0	0	47	47
WP584	WP262	0	0	23	23
WP584	WP702	0	0	188	188
WP584	WP58	0	0	41	41
WP584	WP268	0	0	46	46
WP584	WP384	0	0	18	18
WP584	WP1441	0	0	113	113
WP584	WP334	0	0	23	23
WP584	WP49	0	0	76	76
WP584	WP516	0	0	20	20
WP584	WP43	0	0	71	71
WP584	WP585	0	0	28	28
WP584	WP1423	0	0	28	28
WP584	WP244	0	0	67	67
WP584	WP722	0	0	38	38
WP584	WP686	0	0	2	2
WP584	WP698	0	0	40	40
WP584	WP673	0	0	47	47
WP584	WP98	0	0	40	40
WP584	WP1433	0	0	41	41
WP453	WP75	3	33	102	132
WP453	WP438	0	33	8	41
WP453	WP1425	0	33	12	45
WP453	WP231	2	33	187	218
WP453	WP697	0	33	32	65
WP453	WP1449	3	33	150	180
WP453	WP78	0	33	40	73
WP453	WP259	0	33	6	39
WP453	WP422	0	33	31	64
WP453	WP322	1	33	17	49
WP453	WP391	0	33	22	55
WP453	WP26	0	33	25	58
WP453	WP395	4	33	62	91
WP453	WP734	0	33	21	54
WP453	WP404	0	33	36	69
WP453	WP368	0	33	19	52
WP453	WP206	0	33	15	48
WP453	WP455	0	33	268	301
WP453	WP437	0	33	177	210
WP453	WP3	0	33	16	49
WP453	WP699	0	33	14	47
WP453	WP1458	0	33	0	33
WP453	WP619	1	33	37	69
WP453	WP176	0	33	105	138
WP453	WP1437	0	33	0	33
WP453	WP45	0	33	67	100
WP453	WP528	0	33	17	50
WP453	WP550	0	33	32	65
WP453	WP690	0	33	11	44
WP453	WP183	1	33	65	97
WP453	WP554	0	33	12	45
WP453	WP186	0	33	13	46
WP453	WP688	0	33	12	45
WP453	WP710	0	33	97	130
WP453	WP247	0	33	18	51
WP453	WP366	0	33	151	184
WP453	WP4	0	33	44	77
WP453	WP12	0	33	18	51
WP453	WP288	1	33	10	42
WP453	WP1466	0	33	0	33
WP453	WP1403	0	33	74	107
WP453	WP127	3	33	69	99
WP453	WP530	4	33	30	59
WP453	WP106	0	33	18	51
WP453	WP496	0	33	20	53
WP453	WP325	0	33	35	68
WP453	WP692	0	33	28	61
WP453	WP1436	0	33	0	33
WP453	WP1456	0	33	71	104
WP453	WP481	0	33	160	193
WP453	WP615	5	33	99	127
WP453	WP1445	3	33	139	169
WP453	WP501	0	33	15	48
WP453	WP707	0	33	70	103
WP453	WP727	0	33	44	77
WP453	WP560	2	33	52	83
WP453	WP286	2	33	101	132
WP453	WP53	2	33	52	83
WP453	WP1444	3	33	120	150
WP453	WP678	0	33	16	49
WP453	WP1422	0	33	62	95
WP453	WP558	0	33	65	98
WP453	WP254	2	33	83	114
WP453	WP1424	0	33	28	61
WP453	WP69	2	33	135	166
WP453	WP51	1	33	153	185
WP453	WP465	0	33	74	107
WP453	WP364	1	33	100	132
WP453	WP1448	3	33	148	178
WP453	WP47	0	33	22	55
WP453	WP22	1	33	24	56
WP453	WP136	0	33	9	42
WP453	WP581	0	33	26	59
WP453	WP1443	3	33	120	150
WP453	WP666	0	33	35	68
WP453	WP236	0	33	131	164
WP453	WP497	0	33	49	82
WP453	WP320	0	33	0	33
WP453	WP167	0	33	33	66
WP453	WP197	0	33	29	62
WP453	WP195	0	33	38	71
WP453	WP534	0	33	59	92
WP453	WP696	0	33	9	42
WP453	WP205	1	33	44	76
WP453	WP107	0	33	50	83
WP453	WP311	0	33	10	43
WP453	WP661	0	33	21	54
WP453	WP531	0	33	9	42
WP453	WP411	0	33	129	162
WP453	WP706	0	33	71	104
WP453	WP715	0	33	5	38
WP453	WP272	0	33	24	57
WP453	WP306	12	33	188	209
WP453	WP732	0	33	20	53
WP453	WP35	0	33	96	129
WP453	WP545	0	33	18	51
WP453	WP23	2	33	158	189
WP453	WP179	0	33	90	123
WP453	WP430	0	33	35	68
WP453	WP410	0	33	48	81
WP453	WP1462	0	33	1	34
WP453	WP623	0	33	68	101
WP453	WP400	0	33	34	67
WP453	WP61	1	33	85	117
WP453	WP716	0	33	62	95
WP453	WP428	0	33	61	94
WP453	WP313	0	33	34	67
WP453	WP1442	3	33	120	150
WP453	WP34	0	33	30	63
WP453	WP289	0	33	160	193
WP453	WP382	0	33	162	195
WP453	WP129	0	33	31	64
WP453	WP117	0	33	103	136
WP453	WP474	0	33	66	99
WP453	WP241	0	33	43	76
WP453	WP466	0	33	49	82
WP453	WP383	0	33	38	71
WP453	WP185	0	33	99	132
WP453	WP399	0	33	98	131
WP453	WP524	0	33	37	70
WP453	WP15	1	33	191	223
WP453	WP143	0	33	43	76
WP453	WP1432	0	33	0	33
WP453	WP694	0	33	10	43
WP453	WP299	0	33	41	74
WP453	WP100	0	33	38	71
WP453	WP405	0	33	41	74
WP453	WP477	0	33	88	121
WP453	WP704	0	33	14	47
WP453	WP500	0	33	42	75
WP453	WP80	0	33	13	46
WP453	WP138	0	33	112	145
WP453	WP24	0	33	75	108
WP453	WP521	0	33	13	46
WP453	WP536	0	33	152	185
WP453	WP304	0	33	67	100
WP453	WP1435	0	33	97	130
WP453	WP134	0	33	18	51
WP453	WP712	0	33	22	55
WP453	WP357	0	33	25	58
WP453	WP691	0	33	30	63
WP453	WP229	0	33	14	47
WP453	WP1434	0	33	11	44
WP453	WP408	0	33	28	61
WP453	WP561	0	33	22	55
WP453	WP363	0	33	110	143
WP453	WP733	0	33	5	38
WP453	WP237	0	33	21	54
WP453	WP1438	0	33	14	47
WP453	WP28	0	33	47	80
WP453	WP262	0	33	23	56
WP453	WP702	0	33	188	221
WP453	WP58	0	33	41	74
WP453	WP268	0	33	46	79
WP453	WP384	1	33	18	50
WP453	WP1441	3	33	113	143
WP453	WP334	0	33	23	56
WP453	WP49	5	33	76	104
WP453	WP516	1	33	20	52
WP453	WP43	0	33	71	104
WP453	WP585	2	33	28	59
WP453	WP1423	0	33	28	61
WP453	WP244	5	33	67	95
WP453	WP722	0	33	38	71
WP453	WP686	0	33	2	35
WP453	WP698	0	33	40	73
WP453	WP673	0	33	47	80
WP453	WP98	0	33	40	73
WP453	WP1433	0	33	41	74
